2016-05-23 15:56:55.6578 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 1008
2016-05-23 15:56:55.6578 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 1008
2016-05-23 15:56:55.7218 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 27
2016-05-23 15:56:56.6998 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 970
2016-05-23 15:56:56.6998 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 970
2016-05-23 15:56:56.7078 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 970
2016-05-23 15:56:57.7408 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 993
2016-05-23 15:56:57.7408 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 993
2016-05-23 15:56:57.7618 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 993
2016-05-23 15:56:58.7958 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 1006
2016-05-23 15:56:58.7958 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 1006
2016-05-23 15:56:58.8298 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 10
2016-05-23 15:56:59.8328 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 983
2016-05-23 15:56:59.8328 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 983
2016-05-23 15:56:59.8578 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 983
2016-05-23 15:57:00.8828 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 965
2016-05-23 15:57:00.8988 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 0
2016-05-23 15:57:00.9298 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 17
2016-05-23 15:57:01.9238 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 976
2016-05-23 15:57:01.9238 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 976
